"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"6KG POCKET","NAVEL,CL 2,XL,*,*",26824,1095,6570,24.5,30,"2015-03-16"
"7KG POCKET","NAVEL,CL 1,L,*,*",8400,280,1960,30,30,"2015-03-16"
"7KG POCKET","NAVEL,CL 1,M,*,*",15120,560,3920,27,27,"2015-03-16"
"7KG POCKET","NAVEL,CL 1,S,*,*",25,1,7,25,25,"2015-03-16"
"7KG POCKET","NAVEL,CL 2,M,*,*",150,5,35,30,30,"2015-03-16"
"10KG JUMBLE CARTON","VALENCIA,CL 2,M,*,*",450,45,450,10,10,"2015-03-17"
"15KG CARTON TELESCOPIC","NAVEL,CL 2,*,72,*",76800,640,9600,120,120,"2015-03-17"
"15KG CARTON TELESCOPIC","NAVEL,CL 2,*,88,*",16000,160,2400,100,100,"2015-03-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",8000,80,1200,100,100,"2015-03-17"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",11200,80,1200,140,140,"2015-03-17"
"6KG POCKET","NAVEL,CL 1,M,*,*",7620,322,1932,23.66,30,"2015-03-17"
"6KG POCKET","NAVEL,CL 1,S,*,*",3136,155,930,20.23,25,"2015-03-17"
"6KG POCKET","NAVEL,CL 2,L,*,*",130267,5221,31326,24.95,32,"2015-03-17"
