"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"4KG TRAY","TOMMY ATKINS,*,*,11,*",700,"35.00","140.00",20,20,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,*,12,*",14140,"510.00","2040.00",27.73,30,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,*,7,*",20630,"673.00","2692.00",30.65,35,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,*,8,*",56556,"1944.00","7776.00",29.09,33,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,*,9,*",186042,"6476.00","25904.00",28.73,40,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,L,*,*",118835,"4219.00","16876.00",28.17,45,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,M,*,*",1890,"75.00","300.00",25.2,26,2015-01-14
"4KG TRAY","TOMMY ATKINS,*,XL,*,*",1030,"33.00","132.00",31.21,35,2015-01-14
"4KG TRAY","ZILL,*,L,*,*",2265,"65.00","260.00",34.85,40,2015-01-14
"4KG TRAY","HEIDI,*,L,*,*",48965,"531.00","2124.00",92.21,100,2015-01-17
"4KG TRAY","HEIDI,*,S,*,*",1470,"69.00","276.00",21.3,70,2015-01-17
"4KG TRAY","HEIDI,*,XL,*,*",160,"2.00","8.00",80,80,2015-01-17
"4KG TRAY","IRWIN,*,L,*,*",6025,"241.00","964.00",25,25,2015-01-17
"4KG TRAY","IRWIN,*,M,*,*",14120,"597.00","2388.00",23.65,30,2015-01-17
"4KG TRAY","KENSINGTON,*,L,*,*",1440,"37.00","148.00",38.92,40,2015-01-17
"4KG TRAY","LONG GREEN,*,L,*,*",6955,"198.00","792.00",35.13,40,2015-01-17
"4KG TRAY","PAIRI,*,L,*,*",1100,"4.00","16.00",275,300,2015-01-17
"4KG TRAY","PAIRI,*,S,*,*",500,"2.00","8.00",250,250,2015-01-17
"4KG TRAY","PEACH,*,L,*,*",8839,"243.00","972.00",36.37,50,2015-01-17
"4KG TRAY","SABRE,*,L,*,*",250,"10.00","40.00",25,25,2015-01-17
"4KG TRAY","SABRE,*,M,*,*",460,"22.00","88.00",20.91,25,2015-01-17
"4KG TRAY","SENSATION,*,L,*,*",450,"9.00","36.00",50,50,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,*,10,*",50680,"1552.00","6208.00",32.65,38,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,*,12,*",540,"18.00","72.00",30,30,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,*,7,*",28055,"1112.00","4448.00",25.23,35,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,*,8,*",48411,"1581.00","6324.00",30.62,35,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,*,9,*",68846,"2252.00","9008.00",30.57,45,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,L,*,*",110599,"3481.00","13924.00",31.77,40,2015-01-17
"4KG TRAY","TOMMY ATKINS,*,XL,*,*",315,"9.00","36.00",35,35,2015-01-17
"4KG TRAY","ZILL,*,L,*,*",2239.6,"72.00","288.00",31.11,35,2015-01-17
"4KG TRAY","HEIDI,*,M,*,*",1860,"36.00","144.00",51.67,60,2015-01-20
