Container,ProductName,TotalValueSold,TotalQuantitySold,TotalKgSold,AveragePrice,HighestPrice,Date
15KG CARTON OPEN TOP,"NAVEL,CL 1,*,40,*",340,4,60,85,85,2014-11-06
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,56,*",2550,30,450,85,85,2014-11-06
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,64,*",9000,105,1575,85.71,90,2014-11-06
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",1170,13,195,90,90,2014-11-06
6KG POCKET,"VALENCIA,CL 2,S,*,*",14329,4698,28188,3.05,24,2014-11-10
6KG POCKET,"VALENCIA,CL 2,M,*,*",2990,502,3012,5.96,24,2014-11-10
2KG POCKET,"VALENCIA,CL 1,M,*,*",1320,660,1320,2,2,2014-11-10
6KG POCKET,"VALENCIA,CL 2,XL,*,*",2264,130,780,17.42,20,2014-11-10
6KG POCKET,"MIDKNIGHT,CL 1,M,*,*",2850,142,852,20.07,22,2014-11-10
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,88,*",720,12,180,60,60,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,125,*",1200,20,300,60,60,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",1020,17,255,60,60,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",540,9,135,60,60,2014-11-10
6KG POCKET,"MIDKNIGHT,CL 1,L,*,*",96,4,24,24,24,2014-11-10
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,65,*",43225,715,10725,60.45,65,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",10570,172,2580,61.45,65,2014-11-10
6KG POCKET,"VALENCIA,CL 2,L,*,*",32692,1316,7896,24.84,26,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",11200,160,2400,70,70,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",2700,37,555,72.97,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",16280,218,3270,74.68,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",300,4,60,75,75,2014-11-10
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,72,*",995,13,195,76.54,85,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",6640,83,1245,80,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",12800,160,2400,80,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",6480,81,1215,80,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",39623,496,7440,79.89,80,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",40400,505,7575,80,80,2014-11-10
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,55,*",20190,251,3765,80.44,90,2014-11-10
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,48,*",19920,240,3600,83,83,2014-11-10
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,56,*",850,10,150,85,85,2014-11-10
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",170,2,30,85,85,2014-11-10
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",8435,99,1485,85.2,90,2014-11-10
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,64,*",1390,16,240,86.88,90,2014-11-10
15KG CARTON OPEN TOP,"NAVEL,CL 1,*,40,*",90,1,15,90,90,2014-11-10
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",180,2,30,90,90,2014-11-10
7KG POCKET,"MIDKNIGHT,CL 2,S,*,*",119.72,41,287,2.92,2.92,2014-11-12
6KG POCKET,"VALENCIA,CL 2,XL,*,*",16,1,6,16,16,2014-11-12
6KG POCKET,"VALENCIA,CL 2,S,*,*",47154,2685,16110,17.56,18,2014-11-12
6KG POCKET,"NAVEL,CL 2,L,*,*",10083,563,3378,17.91,24,2014-11-12
6KG POCKET,"VALENCIA,CL 2,L,*,*",5610,256,1536,21.91,26,2014-11-12
6KG POCKET,"VALENCIA,CL 2,M,*,*",10772,466,2796,23.12,25,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,125,*",360,6,90,60,60,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",1240,19,285,65.26,70,2014-11-12
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,88,*",150,2,30,75,75,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",22230,291,4365,76.39,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",82880,1041,15615,79.62,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",11520,144,2160,80,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",11200,140,2100,80,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",46400,580,8700,80,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",17025,213,3195,79.93,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",17600,220,3300,80,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",9040,113,1695,80,80,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",21430,266,3990,80.56,85,2014-11-12
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,64,*",2195,27,405,81.3,85,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,64,*",13280,160,2400,83,83,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,48,*",6640,80,1200,83,83,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",2421,29,435,83.48,90,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,56,*",29058,346,5190,83.98,85,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,40,*",5311,63,945,84.3,90,2014-11-12
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,64,*",255,3,45,85,85,2014-11-12
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",6995,82,1230,85.3,90,2014-11-12
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,65,*",90,1,15,90,90,2014-11-12
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",6300,70,1050,90,90,2014-11-12
7KG POCKET,"MIDKNIGHT,CL 2,S,*,*",670,121,847,5.54,10,2014-11-13
3KG POCKET,"VALENCIA,CL 1,S,*,*",40,8,24,5,5,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",2400,80,1200,30,30,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",3050,94,1410,32.45,80,2014-11-13
6KG POCKET,"VALENCIA,CL 2,L,*,*",2840,178,1068,15.96,26,2014-11-13
6KG POCKET,"VALENCIA,CL 2,S,*,*",31372,1820,10920,17.24,18,2014-11-13
6KG POCKET,"VALENCIA,CL 2,XL,*,*",2016,112,672,18,18,2014-11-13
6KG POCKET,"NAVEL,CL 2,L,*,*",1322,69,414,19.16,20,2014-11-13
6KG POCKET,"VALENCIA,CL 2,M,*,*",18826,815,4890,23.1,25,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",415,6,90,69.17,70,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",5810,83,1245,70,70,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",7000,100,1500,70,70,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",25060,347,5205,72.22,80,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",14900,205,3075,72.68,80,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",83850,1146,17190,73.17,80,2014-11-13
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",3545,44,660,80.57,85,2014-11-13
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,64,*",820,10,150,82,84,2014-11-13
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,56,*",7985,95,1425,84.05,90,2014-11-13
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,40,*",255,3,45,85,85,2014-11-13
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",7930,93,1395,85.27,90,2014-11-13
15KG CARTON TELESCOPIC,"NAVEL,CL 1,*,48,*",1210,14,210,86.43,90,2014-11-13
15KG CARTON OPEN TOP,"NAVEL,CL 1,*,40,*",180,2,30,90,90,2014-11-13
15KG CARTON TELESCOPIC,"NAVEL,CL 2,*,48,*",180,2,30,90,90,2014-11-13
7KG POCKET,"MIDKNIGHT,CL 2,S,*,*",547.2,159,1113,3.44,10,2014-11-14
6KG POCKET,"MIDKNIGHT,CL 1,L,*,*",256,64,384,4,4,2014-11-14
6KG POCKET,"VALENCIA,CL 2,L,*,*",863,54,324,15.98,20,2014-11-14
6KG POCKET,"VALENCIA,CL 2,S,*,*",45594,2533,15198,18,18,2014-11-14
6KG POCKET,"VALENCIA,CL 2,XL,*,*",200,10,60,20,20,2014-11-14
6KG POCKET,"VALENCIA,CL 2,M,*,*",2476,110,660,22.51,24,2014-11-14
6KG POCKET,"NAVEL,CL 2,L,*,*",11915,498,2988,23.93,25,2014-11-14
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,55,*",7800,130,1950,60,60,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",370,6,90,61.67,70,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",18615,278,4170,66.96,70,2014-11-14
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,88,*",5910,82,1230,72.07,75,2014-11-14
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",69560,956,14340,72.76,85,2014-11-14
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",35190,482,7230,73.01,75,2014-11-14
