"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"1.5KG TRAY","BLACK GEM,CL 1,*,*,*",6048,"504.00","756.00",12,12,2015-01-07
"1.5KG TRAY","CRIMSON SEEDLESS,CL 1,*,*,*",13364,"828.00","1242.00",16.14,18,2015-01-07
"1.5KG TRAY","DAN-BEN-HANNA,CL 1,*,*,*",740,"37.00","55.50",20,20,2015-01-07
"1.5KG TRAY","FLAME SEEDLESS,CL 1,*,*,*",7166,"543.00","814.50",13.2,16,2015-01-07
"1.5KG TRAY","PRIME SEEDLESS,CL 1,*,*,*",24630,"1488.00","2232.00",16.55,77,2015-01-07
"1.5KG TRAY","RALLI,CL 1,*,*,*",640,"32.00","48.00",20,20,2015-01-07
"1.5KG TRAY","STARLIGHT,CL 1,*,*,*",5296,"326.00","489.00",16.25,18,2015-01-07
"1.5KG TRAY","SUGRA13,CL 1,*,*,*",19664,"1053.00","1579.50",18.67,20,2015-01-07
"1.5KG TRAY","SUGRAONE,CL 1,*,*,*",2498,"136.00","204.00",18.37,20,2015-01-07
"1.5KG TRAY","THOMPSON SEEDLESS,CL 1,*,*,*",97180,"5511.00","8266.50",17.63,20,2015-01-07
"1.5KG TRAY","VICTORIA,CL 1,*,*,*",4489,"268.00","402.00",16.75,18,2015-01-07
"4.5KG WRAP TRAY","BLACK GEM,CL 1,*,*,*",9100,"115.00","517.50",79.13,80,2015-01-07
"4.5KG WRAP TRAY","CRIMSON SEEDLESS,*,*,*,*",2480,"31.00","139.50",80,80,2015-01-07
"4.5KG WRAP TRAY","DAN-BEN-HANNA,CL 1,*,*,*",9670,"130.00","585.00",74.38,90,2015-01-07
"4.5KG WRAP TRAY","EVANS DELIGHT,CL 1,*,*,*",4720,"57.00","256.50",82.81,90,2015-01-07
"4.5KG WRAP TRAY","FLAME SEEDLESS,CL 1,*,*,*",2720,"34.00","153.00",80,80,2015-01-07
"4.5KG WRAP TRAY","PRIME SEEDLESS,CL 1,*,*,*",6040,"82.00","369.00",73.66,90,2015-01-07
"4.5KG WRAP TRAY","RALLI,CL 1,*,*,*",7530,"88.00","396.00",85.57,90,2015-01-07
"4.5KG WRAP TRAY","RED GLOBE,CL 1,*,*,*",65849,"856.00","3852.00",76.93,110,2015-01-07
"4.5KG WRAP TRAY","REGAL,CL 1,*,*,*",120,"2.00","9.00",60,60,2015-01-07
"4.5KG WRAP TRAY","STARLIGHT,CL 1,*,*,*",5370,"64.00","288.00",83.91,90,2015-01-07
"4.5KG WRAP TRAY","SUGRA13,CL 1,*,*,*",10310,"117.00","526.50",88.12,100,2015-01-07
"4.5KG WRAP TRAY","SUGRA16,CL 1,*,*,BLACK",450,"5.00","22.50",90,90,2015-01-07
"4.5KG WRAP TRAY","SUGRAONE,CL 1,*,*,*",16460,"224.00","1008.00",73.48,90,2015-01-07
"4.5KG WRAP TRAY","VICTORIA,CL 1,*,*,*",5470,"68.00","306.00",80.44,90,2015-01-07
"500G PUNNET PACK BOX","BLACK GEM,CL 1,*,10,*",18360,"220.00","1100.00",83.45,100,2015-01-07
"500G PUNNET PACK BOX","CRIMSON SEEDLESS,CL 1,*,10,*",47940,"502.00","2510.00",95.5,132,2015-01-07
"500G PUNNET PACK BOX","DAN-BEN-HANNA,CL 1,*,10,*",3570,"49.00","245.00",72.86,80,2015-01-07
"500G PUNNET PACK BOX","EARLY SWEET,CL 1,*,10,*",15030,"162.00","810.00",92.78,120,2015-01-07
"500G PUNNET PACK BOX","FLAME SEEDLESS,CL 1,*,10,*",5550,"231.00","1155.00",24.03,80,2015-01-07
"500G PUNNET PACK BOX","FLAME/PRIME SEEDLESS,CL 1,*,10,*",3480,"34.00","170.00",102.35,110,2015-01-07
"500G PUNNET PACK BOX","MOONBALLS,CL 1,*,10,*",29280,"223.00","1115.00",131.3,150,2015-01-07
"500G PUNNET PACK BOX","MUSCAT DELIGHT,CL 1,*,10,*",700,"5.00","25.00",140,140,2015-01-07
