"UnitMass","ProductName","tvaluesold","tquantitysold","tkgsold","avgprice","highestprice","date"
"18.50KG CARTON","GRANNY SMITH,CL 1,90",3680,17,314.5,216.47,230,"2014-11-20"
"18.50KG CARTON","GRANNY SMITH,CL 1,100",3010,18,333,167.22,210,"2014-11-20"
"18.50KG CARTON","STARKING,CL 1,70",400,2,37,200,200,"2014-11-20"
"18.50KG CARTON","FUJI,CL 1,90",4620,20,370,231,240,"2014-11-20"
"18.50KG CARTON","STARKING,CL 1,110",3930,20,370,196.5,200,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,100",44270,206,3811,214.9,230,"2014-11-20"
"18.50KG CARTON","GRANNY SMITH,CL 1,80",4420,22,407,200.91,220,"2014-11-20"
"18.50KG CARTON","CRIPPS PINK,CL 1,110",55290,247,4569.5,223.85,240,"2014-11-20"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,198",510,3,55.5,170,170,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,60",660,3,55.5,220,220,"2014-11-20"
"18.50KG CARTON","GRANNY SMITH,CL 1,110",7770,37,684.5,210,210,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,120",7370,39,721.5,188.97,190,"2014-11-20"
"18.50KG CARTON","ROYAL GALA,CL 1,150",300,4,74,75,75,"2014-11-20"
"18.50KG CARTON","CRIPPS PINK,CL 1,100",106440,443,8195.5,240.27,250,"2014-11-20"
"18.50KG CARTON","CRIPPS PINK,CL 1,90",110400,460,8510,240,240,"2014-11-20"
"18.50KG CARTON","STARKING,CL 1,80",8140,49,906.5,166.12,210,"2014-11-20"
"18.50KG CARTON","CRIPPS PINK,CL 1,165",1200,5,92.5,240,240,"2014-11-20"
"18.50KG CARTON","GRANNY SMITH,CL 1,150",750,5,92.5,150,150,"2014-11-20"
"18.50KG CARTON","FUJI,CL 1,100",11660,53,980.5,220,220,"2014-11-20"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,80",12040,55,1017.5,218.91,220,"2014-11-20"
"18.50KG CARTON","STARKING,CL 1,120",10080,56,1036,180,180,"2014-11-20"
"18.50KG CARTON","STARKING,CL 1,90",12900,61,1128.5,211.48,225,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,70",8370,68,1258,123.09,250,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,90",9320,68,1258,137.06,240,"2014-11-20"
"18.50KG CARTON","TOPRED,CL 1,110",13840,69,1276.5,200.58,220,"2014-11-20"
"18.50KG CARTON","CRIPPS PINK,CL 1,150",13440,73,1350.5,184.11,240,"2014-11-20"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,100",15820,74,1369,213.78,220,"2014-11-20"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,90",14330,81,1498.5,176.91,230,"2014-11-20"
"18.50KG CARTON","GRANNY SMITH,CL 1,120",17290,91,1683.5,190,190,"2014-11-20"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,110",19030,94,1739,202.45,210,"2014-11-20"
"18.50KG CARTON","BRAEBURN,CL 1,100",200,1,18.5,200,200,"2014-11-24"
"18.50KG CARTON","BRAEBURN,CL 1,150",160,1,18.5,160,160,"2014-11-24"
"18.50KG CARTON","BRAEBURN,CL 1,80",200,1,18.5,200,200,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,110",195,1,18.5,195,195,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,135",19350,119,2201.5,162.61,200,"2014-11-24"
"18.50KG CARTON","FUJI,CL 1,110",720,12,222,60,60,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,90",3520,16,296,220,250,"2014-11-24"
"18.50KG CARTON","BRAEBURN,CL 1,120",3240,18,333,180,180,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,90",23490,185,3422.5,126.97,240,"2014-11-24"
"18.50KG CARTON","BRAEBURN,CL 1,110",380,2,37,190,190,"2014-11-24"
"18.50KG CARTON","CRIPPS RED,CL 1,110",440,2,37,220,240,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,100",390,2,37,195,200,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,198",320,2,37,160,160,"2014-11-24"
"18.50KG CARTON","FUJI,CL 1,90",5040,21,388.5,240,240,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,90",4220,21,388.5,200.95,220,"2014-11-24"
"18.50KG CARTON","CRIPPS PINK,CL 1,100",47600,224,4144,212.5,220,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,120",42530,234,4329,181.75,240,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,100",4670,24,444,194.58,230,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,80",5410,27,499.5,200.37,210,"2014-11-24"
"18.50KG CARTON","CRIPPS PINK,CL 1,90",62990,283,5235.5,222.58,240,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,70",5310,29,536.5,183.1,220,"2014-11-24"
"18.50KG CARTON","CRIPPS RED,CL 1,80",720,3,55.5,240,240,"2014-11-24"
"18.50KG CARTON","FUJI,CL 1,70",720,3,55.5,240,240,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,110",420,3,55.5,140,140,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,80",640,3,55.5,213.33,220,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,100",600,3,55.5,200,200,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,135",520,3,55.5,173.33,180,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,48",360,3,55.5,120,120,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,150",540,3,55.5,180,180,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,100",37720,314,5809,120.13,230,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,120",7980,38,703,210,210,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,80",28370,381,7048.5,74.46,250,"2014-11-24"
"18.50KG CARTON","CRIPPS PINK,CL 1,120",800,4,74,200,200,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,216",240,4,74,60,60,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,70",880,4,74,220,220,"2014-11-24"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,90",8970,40,740,224.25,240,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,135",7380,41,758.5,180,180,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,120",8590,43,795.5,199.77,200,"2014-11-24"
"18.50KG CARTON","STARKING,CL 1,70",8720,43,795.5,202.79,240,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,110",9460,43,795.5,220,240,"2014-11-24"
"18.50KG CARTON","CRIPPS PINK,CL 1,165",400,5,92.5,80,80,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,60",1320,6,111,220,220,"2014-11-24"
"18.50KG CARTON","FUJI,CL 1,135",9520,63,1165.5,151.11,180,"2014-11-24"
"18.50KG CARTON","GRANNY SMITH,CL 1,150",5550,75,1387.5,74,170,"2014-11-24"
"18.50KG CARTON","TOPRED,CL 1,70",5510,77,1424.5,71.56,250,"2014-11-24"
"18.50KG CARTON","FUJI,CL 1,100",480,8,148,60,60,"2014-11-24"
