"StudentID","StudentGender","StudentEthnic","GradeName","TermName","MeasurementScaleName","TestName","TestTypeName","TestRITScore","TestStdErr","TestPercentile","TestStartDate","InstitutionName","RITtoReadingScore","GoalRITScore1","GoalAdjective1","GoalName1","GoalRITScore2","GoalAdjective2","GoalName2","GoalRITScore3","GoalAdjective3","GoalName3","GoalRITScore4","GoalAdjective4","GoalName4","GoalRITScore5","GoalAdjective5","GoalName5","GoalRITScore6","GoalAdjective6","GoalName6","GoalRITScore7","GoalAdjective7","GoalName7","RITtoReadingMin","RITtoReadingMax"
1286,"M","Unknown",8,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",230,2.9,40,2010-04-27,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,237,"AV","Computation",236,"AV","Number Sense & Numeration",221,"LO","Geometry",225,"LO","Measurement",231,"AV","Statistics & Probability",233,"AV","Algebraic Concepts",230,"AV","Problem Solving",NA,NA
1091,"F","Unknown",9,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",248,3,74,2010-05-10,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,244,"HI","Computation",252,"HI","Number Sense & Numeration",246,"HI","Geometry",246,"HI","Measurement",236,"AV","Statistics & Probability",248,"HI","Algebraic Concepts",264,"HI","Problem Solving",NA,NA
1302,"M","Unknown",8,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",249,3.1,79,2010-05-06,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,248,"HI","Computation",270,"HI","Number Sense & Numeration",255,"HI","Geometry",225,"LO","Measurement",237,"AV","Statistics & Probability",265,"HI","Algebraic Concepts",245,"HI","Problem Solving",NA,NA
1220,"F","Unknown",6,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",187,3,1,2010-05-26,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,189,"LO","Computation",185,"LO","Number Sense & Numeration",184,"LO","Geometry",183,"LO","Measurement",182,"LO","Statistics & Probability",193,"LO","Algebraic Concepts",191,"LO","Problem Solving",NA,NA
1268,"F","Unknown",7,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",238,3,67,2010-04-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,237,"AV","Computation",235,"AV","Number Sense & Numeration",243,"HI","Geometry",242,"HI","Measurement",229,"AV","Statistics & Probability",235,"AV","Algebraic Concepts",249,"HI","Problem Solving",NA,NA
1566,"F","Unknown",6,"Spring 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",216,3,27,2010-05-26,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,214,"LO","Computation",214,"LO","Number Sense & Numeration",223,"AV","Geometry",207,"LO","Measurement",212,"LO","Statistics & Probability",215,"LO","Algebraic Concepts",225,"AV","Problem Solving",NA,NA
2186,"M","Unknown",4,"Spring 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",210,3.1,59,2010-05-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,212,"AV","Grammar / Usage",213,"HI","Spell / Punctuate / Capitalize",204,"AV","Paragraphs & Sentences",210,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2190,"M","Unknown",4,"Spring 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",206,3,47,2010-05-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,203,"AV","Grammar / Usage",202,"AV","Spell / Punctuate / Capitalize",206,"AV","Paragraphs & Sentences",214,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2257,"M","Unknown",4,"Spring 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",221,3,85,2010-05-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,220,"HI","Grammar / Usage",216,"HI","Spell / Punctuate / Capitalize",230,"HI","Paragraphs & Sentences",217,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2254,"F","Unknown",8,"Spring 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",203,3,8,2010-04-26,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,197,"LO","Grammar / Usage",211,"LO","Spell / Punctuate / Capitalize",201,"LO","Paragraphs & Sentences",204,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
