UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",36980,212,3922,174.43,190,10/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",44340,236,4366,187.88,220,10/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",39070,237,4384.5,164.85,170,10/11/14
18.50KG CARTON,"TOPRED,CL 1,120",4680,26,481,180,180,10/11/14
18.50KG CARTON,"STARKING,CL 1,100",4840,27,499.5,179.26,220,10/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,120",54530,287,5309.5,190,190,10/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,198",420,3,55.5,140,140,10/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,80",900,4,74,225,230,10/11/14
18.50KG CARTON,"STARKING,CL 1,120",280,4,74,70,70,10/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",76025,442,8177,172,190,10/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",11250,49,906.5,229.59,250,10/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,90",1100,5,92.5,220,220,10/11/14
18.50KG CARTON,"TOPRED,CL 1,110",10640,56,1036,190,190,10/11/14
18.50KG CARTON,"TOPRED,CL 1,135",5940,58,1073,102.41,170,10/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,135",1140,6,111,190,190,10/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",1310,6,111,218.33,240,10/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,135",107820,630,11655,171.14,180,10/11/14
18.50KG CARTON,"STARKING,CL 1,110",12510,68,1258,183.97,210,10/11/14
18.50KG CARTON,"FUJI,CL 1,120",1330,7,129.5,190,190,10/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,90",1500,7,129.5,214.29,220,10/11/14
18.50KG CARTON,"TOPRED,CL 1,70",9670,72,1332,134.31,240,10/11/14
18.50KG CARTON,"TOPRED,CL 1,80",11470,77,1424.5,148.96,250,10/11/14
18.50KG CARTON,"ROYAL GALA,CL 1,90",800,8,148,100,100,10/11/14
18.50KG CARTON,"STARKING,CL 1,70",1710,9,166.5,190,220,10/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,110",190,1,18.5,190,190,12/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,100",200,1,18.5,200,200,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,135",170,1,18.5,170,170,12/11/14
18.50KG CARTON,"STARKING,CL 1,80",18940,102,1887,185.69,220,12/11/14
18.50KG CARTON,"STARKING,CL 1,90",21770,109,2016.5,199.72,220,12/11/14
18.50KG CARTON,"STARKING,CL 1,100",22240,111,2053.5,200.36,220,12/11/14
18.50KG CARTON,"BRAEBURN,CL 1,110",13440,112,2072,120,120,12/11/14
18.50KG CARTON,"STARKING,CL 1,150",16800,112,2072,150,150,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",2760,12,222,230,240,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,80",2630,12,222,219.17,230,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,110",2800,14,259,200,200,12/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,150",28490,161,2978.5,176.96,180,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",440,2,37,220,220,12/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,90",4330,20,370,216.5,230,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,120",3610,20,370,180.5,190,12/11/14
18.50KG CARTON,"STARKING,CL 1,120",3960,22,407,180,180,12/11/14
18.50KG CARTON,"TOPRED,CL 1,120",4280,22,407,194.55,200,12/11/14
18.50KG CARTON,"TOPRED,CL 1,100",5290,26,481,203.46,450,12/11/14
18.50KG CARTON,"TOPRED,CL 1,80",5700,29,536.5,196.55,250,12/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,100",580,3,55.5,193.33,200,12/11/14
18.50KG CARTON,"TOPRED,CL 1,198",510,3,55.5,170,170,12/11/14
18.50KG CARTON,"TOPRED,CL 1,60",660,3,55.5,220,220,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",56270,305,5642.5,184.49,200,12/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",6360,33,610.5,192.73,200,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",7180,33,610.5,217.58,250,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",58310,342,6327,170.5,180,12/11/14
18.50KG CARTON,"FUJI,CL 1,100",720,4,74,180,180,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,150",480,4,74,120,120,12/11/14
18.50KG CARTON,"STARKING,CL 1,70",6850,41,758.5,167.07,210,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,100",9330,46,851,202.83,210,12/11/14
18.50KG CARTON,"TOPRED,CL 1,135",8460,47,869.5,180,180,12/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,100",10330,49,906.5,210.82,220,12/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,90",1100,5,92.5,220,220,12/11/14
18.50KG CARTON,"TOPRED,CL 1,90",9150,50,925,183,250,12/11/14
18.50KG CARTON,"TOPRED,CL 1,110",12040,56,1036,215,220,12/11/14
